City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,5.43,51,88,1.84,RU,1717873322
1,grytviken,-54.2811,-36.5092,-2.47,86,100,3.45,GS,1717873256
2,ribeira grande,38.5167,-28.7,21.22,83,40,6.69,PT,1717873284
3,obo,5.3998,26.4869,21.72,87,44,1.97,CF,1717873425
4,bilibino,68.0546,166.4372,6.28,48,0,1.5,RU,1717873264
5,karoi,-16.8099,29.6925,16.67,64,81,2.05,ZW,1717873426
6,markovo,57.3206,107.0881,7.16,80,20,1.79,RU,1717873426
7,kokstad,-30.5472,29.4241,4.71,94,3,1.55,ZA,1717873426
8,hasaki,35.7333,140.8333,17.38,79,98,3.78,JP,1717873426
9,blackmans bay,-43.0167,147.3167,8.74,92,3,0.45,AU,1717873264
10,tura,25.5198,90.2201,24.35,95,0,2.69,IN,1717873311
11,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,6.69,EC,1717873302
12,adamstown,-25.066,-130.1015,22.75,82,11,4.97,PN,1717873259
13,longyearbyen,78.2186,15.6401,3.91,70,75,1.54,SJ,1717873285
14,cockburn town,21.4612,-71.1419,28.03,83,100,6.01,TC,1717873427
15,invercargill,-46.4,168.35,7.23,88,100,1.34,NZ,1717873427
16,manadhoo,5.7667,73.3833,28.45,79,100,6.86,MV,1717873427
17,georgetown,5.4112,100.3354,28.96,73,20,2.24,MY,1717873258
18,puerto natales,-51.7236,-72.4875,3.25,100,75,1.54,CL,1717873054
19,west island,-12.1568,96.8225,26.99,83,100,6.17,CC,1717873268
20,bredasdorp,-34.5322,20.0403,10.19,86,0,1.06,ZA,1717873268
21,bandon,51.7469,-8.7425,15.77,73,5,5.45,IE,1717873428
22,geraldton,-28.7667,114.6,22.23,88,40,8.75,AU,1717873192
23,avarua,-21.2078,-159.775,23.03,64,20,1.54,CK,1717873131
24,island harbour,50.724,-1.2758,18.04,57,16,1.34,GB,1717873326
25,saint-remi,45.2668,-73.6159,20.42,84,98,3.6,CA,1717873149
26,port-aux-francais,-49.35,70.2167,6.2,96,100,14.44,TF,1717873256
27,mira,45.4358,12.1348,25.05,65,0,2.57,IT,1717873429
28,edinburgh of the seven seas,-37.0676,-12.3116,16.22,90,100,12.95,SH,1717873255
29,ilulissat,69.2167,-51.1,2.54,88,0,2.36,GL,1717873141
30,whitehorse,60.7161,-135.0538,21.17,29,75,2.68,CA,1717873259
31,papatowai,-46.5619,169.4708,7.72,85,100,3.18,NZ,1717873261
32,muravlenko,63.7898,74.523,11.58,49,3,3.48,RU,1717873430
33,hamilton,39.1834,-84.5333,24.41,65,40,2.06,US,1717873050
34,isafjordur,66.0755,-23.124,5.02,70,40,3.6,IS,1717873274
35,kiunga,-6.1219,141.2906,23.14,100,99,0.88,PG,1717873430
36,waitangi,-43.9535,-176.5597,8.79,83,5,2.24,NZ,1717873257
37,progreso,21.2833,-89.6667,40.06,87,0,7.37,MX,1717873431
38,sakaiminato,35.55,133.2333,18.99,94,100,5.66,JP,1717873431
39,micheweni,-4.9667,39.8333,26.39,73,16,6.6,TZ,1717873431
40,bethel,41.3712,-73.414,25.68,52,0,5.14,US,1717873014
41,hammerfest,70.6634,23.6821,8.25,81,75,5.14,NO,1717873289
42,korla,41.7597,86.1469,24.82,28,26,1.98,CN,1717873341
43,kruisfontein,-34.0033,24.7314,9.94,84,100,2.43,ZA,1717873289
44,margaret river,-33.95,115.0667,16.55,91,100,11.25,AU,1717873260
45,tiksi,71.6872,128.8694,0.05,90,57,3.93,RU,1717873273
46,lebu,-37.6167,-73.65,11.77,93,100,7.68,CL,1717873078
47,minas de marcona,-15.2119,-75.1103,18.73,56,50,4.18,PE,1717873292
48,badger,64.8,-147.5333,23.88,30,0,6.69,US,1717873286
49,kakamega,0.2842,34.7523,19.29,94,76,2.51,KE,1717873432
50,korablino,53.9164,40.0133,14.58,77,13,2.25,RU,1717873433
51,ushuaia,-54.8,-68.3,2.81,70,20,6.17,AR,1717873229
52,sur,22.5667,59.5289,31.4,58,0,1.82,OM,1717873433
53,ostrov,57.3439,28.3537,13.85,74,7,1.92,RU,1717873433
54,tidjikja,18.5564,-11.4271,39.36,16,50,3.58,MR,1717873331
55,port lincoln,-34.7333,135.8667,12.72,77,64,3.47,AU,1717873279
56,undurkhaan,47.3194,110.6556,15.29,46,68,1.59,MN,1717873434
57,viedma,-40.8135,-62.9967,18.49,67,100,2.7,AR,1717873327
58,tiebo,14.6333,-16.2333,32.06,58,46,4.12,SN,1717873434
59,kapuskasing,49.4169,-82.4331,17.05,55,75,7.2,CA,1717873434
60,port mathurin,-19.6833,63.4167,23.98,78,40,9.97,MU,1717873280
61,bishkek,42.87,74.59,19.11,33,7,3.58,KG,1717873152
62,el bayadh,33.6832,1.0193,28.6,14,76,11.09,DZ,1717873435
63,port-vila,-17.7338,168.3219,20.78,100,20,1.03,VU,1717873435
64,khandyga,62.6667,135.6,9.13,44,0,3.7,RU,1717873271
65,yellowknife,62.456,-114.3525,11.29,46,100,5.66,CA,1717873036
66,jamestown,42.097,-79.2353,21.4,45,40,9.77,US,1717873000
67,ghadamis,30.1337,9.5007,33.65,11,0,2.63,LY,1717873435
68,stanley,54.868,-1.6985,13.77,53,20,7.72,GB,1717873296
69,guilin,25.2819,110.2864,25.06,97,99,1.33,CN,1717873436
70,plosca,44.0333,25.1333,21.45,71,14,4.34,RO,1717873436
71,bodo,67.28,14.405,15.02,61,20,1.54,NO,1717873436
72,tolanaro,-25.0319,46.9987,21.04,83,75,6.17,MG,1717873292
73,kasane,-17.8167,25.15,16.9,41,0,2.56,BW,1717873436
74,aasiaat,68.7098,-52.8699,1.84,83,12,3.71,GL,1717873276
75,kununurra,-15.7667,128.7333,13.99,67,0,2.57,AU,1717873333
76,broome,42.2506,-75.833,23.16,64,100,6.69,US,1717873064
77,laguna,38.421,-121.4238,28.51,54,0,2.06,US,1717873437
78,bargaal,11.2864,51.0773,28.14,74,42,1.3,SO,1717873437
79,didim,37.3756,27.2678,29.78,56,0,5.19,TR,1717873437
80,wailua homesteads,22.0669,-159.378,25.48,79,12,1.34,US,1717873263
81,kodiak,57.79,-152.4072,7.73,87,100,11.83,US,1717873046
82,ta`u,-14.2336,-169.5144,26.58,74,100,10.89,AS,1717873438
83,san patricio,28.017,-97.5169,35.65,40,5,7.06,US,1717873323
84,margate,51.3813,1.3862,17.61,61,1,0.89,GB,1717873283
85,punta arenas,-53.15,-70.9167,4.06,65,0,2.57,CL,1717873098
86,magadan,59.5667,150.8,4.74,99,100,0.99,RU,1717873328
87,tofol,5.3248,163.0078,28.59,79,97,5.61,FM,1717873255
88,fukuecho,32.6881,128.8419,21.33,98,100,3.32,JP,1717873439
89,basco,20.4487,121.9702,29.0,77,17,2.88,PH,1717873439
90,albany,42.6001,-73.9662,20.91,61,41,1.34,US,1717873234
91,banda aceh,5.5577,95.3222,27.48,76,88,4.49,ID,1717873339
92,walvis bay,-22.9575,14.5053,24.53,15,19,4.63,NA,1717873439
93,erenhot,43.6475,111.9767,20.65,24,9,4.29,CN,1717873439
94,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,63,75,6.26,RU,1717873299
95,desterro,-7.2906,-37.0939,28.36,47,99,5.86,BR,1717873440
96,constantia,44.1833,28.65,21.5,67,45,4.04,RO,1717873290
97,boali,4.8005,18.1275,25.15,79,100,1.82,CF,1717873440
98,buka,40.8108,69.1986,25.93,31,0,2.28,UZ,1717873296
99,big spring,32.2504,-101.4787,36.25,36,0,8.23,US,1717873441
100,college,64.8569,-147.8028,23.93,32,0,6.69,US,1717873268
101,labrador city,52.9463,-66.9114,26.95,29,75,3.09,CA,1717873294
102,westerland,54.9079,8.3033,11.63,76,20,6.69,DE,1717873441
103,magnitka,55.3475,59.6961,13.88,93,100,2.21,RU,1717873441
104,santo antonio do ica,-3.1022,-67.9397,32.51,51,47,1.52,BR,1717873441
105,inarajan village,13.2736,144.7484,28.08,90,99,4.34,GU,1717873342
106,antsiranana,-12.2787,49.2917,21.54,85,0,3.48,MG,1717873332
107,nova sintra,14.8667,-24.7167,23.75,83,0,11.04,CV,1717873265
108,balabac,7.9868,117.0645,25.76,89,100,4.54,PH,1717873442
109,harnai,30.1005,67.9374,27.32,27,0,1.19,PK,1717873442
110,hawaiian paradise park,19.5933,-154.9731,26.6,79,6,0.89,US,1717873279
111,howard springs,-12.497,131.047,16.95,83,5,3.36,AU,1717873289
112,crane,31.3974,-102.3501,36.78,24,100,8.88,US,1717873258
113,bratsk,56.1325,101.6142,11.27,89,95,1.33,RU,1717873368
114,les avirons,-21.2418,55.3394,21.03,73,0,2.57,RE,1717873443
115,murghob,38.1702,73.9667,0.44,99,100,0.38,TJ,1717873443
116,aripuana,-9.1667,-60.6333,35.69,25,1,1.57,BR,1717873288
117,antalaha,-14.9003,50.2788,20.64,85,4,3.04,MG,1717873332
118,dapa,9.7594,126.0531,27.64,81,100,1.62,PH,1717873443
119,tahe,52.3333,124.7333,7.57,58,96,1.39,CN,1717873444
120,marica,-22.9194,-42.8186,24.97,77,0,4.11,BR,1717873444
121,chibougamau,49.9168,-74.3659,18.79,63,100,3.09,CA,1717873303
122,talnakh,69.4865,88.3972,1.78,98,100,4.37,RU,1717873260
123,vorgashor,67.5833,63.95,-1.22,93,100,2.69,RU,1717873299
124,iqaluit,63.7506,-68.5145,2.85,64,75,7.72,CA,1717873259
125,tazovsky,67.4667,78.7,3.33,82,94,3.53,RU,1717873273
126,afaahiti,-17.75,-149.2833,23.93,85,97,7.0,PF,1717873266
127,soio,-6.1349,12.3689,22.93,84,15,3.28,AO,1717873445
128,namibe,-15.1961,12.1522,20.02,76,0,0.72,AO,1717873340
129,tamiahua,21.2667,-97.45,33.53,55,3,6.5,MX,1717873445
130,ascension,30.2169,-90.9001,36.16,50,0,0.0,US,1717873445
131,pudozh,61.8099,36.5345,13.3,66,100,1.34,RU,1717873445
132,bagayevskaya,47.32,40.38,26.6,55,0,1.98,RU,1717873445
133,atafu village,-8.5421,-172.5159,28.36,74,100,2.99,TK,1717873300
134,howrah,22.5892,88.3103,31.0,84,40,5.14,IN,1717873446
135,taoudenni,22.6783,-3.9836,41.8,9,9,1.77,ML,1717873446
136,karratha,-20.7377,116.8463,19.57,56,0,3.3,AU,1717873446
137,tromso,69.6496,18.957,9.01,81,75,5.66,NO,1717873246
138,egilsstadir,65.2653,-14.3948,6.95,70,75,1.54,IS,1717873446
139,brisas de zicatela,15.8369,-97.0419,30.28,69,100,5.14,MX,1717873321
140,port augusta,-32.5,137.7667,8.78,69,50,1.38,AU,1717873324
141,saipan,15.1355,145.701,28.36,75,79,4.45,MP,1717873268
142,fale old settlement,-9.3852,-171.2468,28.47,71,85,2.42,TK,1717873344
143,rio grande,-32.035,-52.0986,22.06,87,100,4.38,BR,1717873064
144,olmos,-5.9847,-79.7453,26.61,45,80,2.92,PE,1717873447
